File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Classes\Categoria.java,167,81,52,33,15,76,45,0,7,1,21,0,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Classes\Oferta.java,531,256,168,107,51,229,156,0,25,5,63,0,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Classes\Puesto.java,167,81,52,33,15,76,45,0,7,1,21,0,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Classes\Usuario.java,425,202,136,86,41,161,148,0,22,3,48,0,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Controladores\Ctrl_Login.java,590,283,186,120,138,263,97,0,32,10,43,4,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Controladores\Ctrl_Oferta.java,1205,564,386,255,277,391,308,0,118,9,85,15,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Controladores\Ctrl_Perfil.java,560,287,162,110,46,306,118,0,37,9,38,4,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Controladores\Ctrl_Registro.java,1063,517,327,217,195,476,210,0,80,14,77,8,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Controladores\Ctrl_veroferta.java,470,242,136,91,46,272,78,0,28,10,32,2,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Controladores\ImageServlet.java,755,383,224,147,96,501,58,0,47,2,46,2,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Modelos\Modelo_ConexionDb.java,211,104,65,41,20,102,45,5,9,2,23,1,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Modelos\Modelo_Ingreso.java,473,238,141,93,78,280,41,15,24,2,27,2,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Modelos\Modelo_Oferta.java,4203,1906,1358,938,1132,739,1214,178,471,19,387,59,
C:\Users\tosh\Documents\NetBeansProjects\TrabajosWeb\src\java\Modelos\Modelo_Usuario.java,1244,596,390,258,239,433,262,110,92,5,88,12,

Entire Project Time,=SUM(B2:B15),=SUM(C2:C15),=SUM(D2:D15),=SUM(E2:E15),=SUM(F2:F15),=SUM(G2:G15),=SUM(H2:H15),=SUM(I2:I15),=SUM(J2:J15),=SUM(K2:K15),=SUM(L2:L15),=SUM(M2:M15),
